id,sticker_file_id,search_tags
sony,CAACAgIAAxkBAAMmYgesVyMXVNbMarzRfq_D4UlHA2YAAlcOAAJ9xFhIA6fqewP38UEjBA,sony,сони
amd,CAACAgIAAxkBAAMoYgesd875OUXAyVVhv3ci5AMf5hAAApwOAAIu7lhITf_4xZdBgPQjBA,amd,амд
apple,CAACAgIAAxkBAAMLYgen8fqfrYXIQVO5-UVCzoZhdpEAAn4QAAJRsllI6O6VpC_EMwgjBA,эпл,apple
intel,CAACAgIAAxkBAAMqYgesovg4hoiOWaY200tuoYe8ZO8AAkEMAAJzyGBINjDZKIo5CK8jBA,intel,интел
microsoft,CAACAgIAAxkBAAM2YgewXBLPc8Gb1dM9TrV7ejpVbMkAAqcOAAL7FVhIiHe4Cwqqh_kjBA,microsoft,майкрософт
nintendo,CAACAgIAAxkBAAM4Ygewh6xJ5Rb58QbXjOjyzGGYAAFOAAJ_DwACbxZYSPaBHFUnmFkKIwQ,nintendo,нинтендо
nvidia,CAACAgIAAxkBAAM6Ygewo0x0HSHNJ7m5hv1kMirqShIAAvQMAAIpBllI4urCSXLQv74jBA,nvidia,нвидиа
gosuslugi,CAACAgIAAxkBAAM-Ygewx3ezti-5DhkKVM3ggPwmtt4AAsEMAAI9z7FIQOJ2mP66VTcjBA,gosuslugi,госуслуги
activision,CAACAgIAAxkBAANAYgexHYLjk8EGFShUw3YK557isf8AAjgLAALtbLlIy1FpauI6IxQjBA,activision,активижн
ubisoft,CAACAgIAAxkBAANCYgexP68hXLiTbm7g7lVxgtcckVUAAg4NAAJbOLBIK11Yb8J5BVcjBA,ubisoft,юбисофт
blizzard,CAACAgIAAxkBAANEYgexX37PxvO3bJjHJF0BAf9oQmYAApENAAKcwLFIAAGZO9S1uXPdIwQ,blizzard,близард
bethesda,CAACAgIAAxkBAANGYgexgkkQqrcaQDFRNGvWbeO34GUAAlwOAAKlZbhIOdhdES8hsGcjBA,bethesda,безезда
yandex,CAACAgIAAxkBAAM0YgevzSKvl7nV8TVS8UMF2HfeeMwAAm8NAALE8LFIMop5q4D-fwwjBA,yandex,яндекс
